date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:36	57083/57083	---M--	200	added ('OK')	image/png	etag:%22defb-5f2ebcc5ee79f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/phone-product-card-2.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/phone-product-card-2.png	(from https://adrofx.com/social-investing)
12:15:36	54743/54743	---M--	200	added ('OK')	image/png	etag:%22d5d7-5f2ebcc5ee79f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/phone-product-card-3.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/phone-product-card-3.png	(from https://adrofx.com/social-investing)
12:15:36	1124/1124	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22464-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/icon-verified.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/icon-verified.svg	(from https://adrofx.com/social-investing)
12:15:37	9408/9408	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2224c0-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/icon-solution.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/icon-solution.svg	(from https://adrofx.com/social-investing)
12:15:37	1642/1642	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2266a-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/icon-platform.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/icon-platform.svg	(from https://adrofx.com/social-investing)
12:15:37	1420/1420	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258c-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/icon-support.svg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/icon-support.svg	(from https://adrofx.com/social-investing)
12:15:37	21661/21661	---M--	200	added ('OK')	image/png	etag:%22549d-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/icon-tools.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/icon-tools.png	(from https://adrofx.com/social-investing)
12:15:37	32369/32369	---M--	200	added ('OK')	image/png	etag:%227e71-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/icon-planet.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/icon-planet.png	(from https://adrofx.com/social-investing)
12:15:38	19499/19499	---M--	200	added ('OK')	image/png	etag:%224c2b-5f2ebcc5ec85f%22	https://adrofx.com/themes/custom/adrofx_theme/185/icons/icon-chess.png	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/icons/icon-chess.png	(from https://adrofx.com/social-investing)
12:15:38	8020/8020	---M--	200	added ('OK')	image/jpeg	etag:%221f54-5f2ebcc5ef73f%22	https://adrofx.com/themes/custom/adrofx_theme/185/img/tony.jpg	C:/My%20Web%20Sites/adrofx%20social-investing/adrofx.com/themes/custom/adrofx_theme/185/img/tony.jpg	(from https://adrofx.com/social-investing)
